,Year,Commodity Group,C03409V04104,Country,UNIT,VALUE
77665,2000,Live animals except fish etc. (00),AT,Austria,Euro Thousand,47.0
77666,2000,Live animals except fish etc. (00),AU,Australia,Euro Thousand,14947.0
77667,2000,Live animals except fish etc. (00),BE,Belgium,Euro Thousand,184.0
77668,2000,Live animals except fish etc. (00),BG,Bulgaria,Euro Thousand,0.0
77669,2000,Live animals except fish etc. (00),BR,Brazil,Euro Thousand,0.0
77670,2000,Live animals except fish etc. (00),CA,Canada,Euro Thousand,242.0
77671,2000,Live animals except fish etc. (00),CH,Switzerland,Euro Thousand,317.0
77672,2000,Live animals except fish etc. (00),CN,China,Euro Thousand,0.0
77673,2000,Live animals except fish etc. (00),CY,Cyprus,Euro Thousand,0.0
77674,2000,Live animals except fish etc. (00),CZ,Czech Republic,Euro Thousand,76.0
77675,2000,Live animals except fish etc. (00),DE,Germany,Euro Thousand,485.0
77676,2000,Live animals except fish etc. (00),DK,Denmark,Euro Thousand,0.0
77677,2000,Live animals except fish etc. (00),EE,Estonia,Euro Thousand,1.0
77678,2000,Live animals except fish etc. (00),ES,Spain,Euro Thousand,48668.0
77679,2000,Live animals except fish etc. (00),FI,Finland,Euro Thousand,0.0
77680,2000,Live animals except fish etc. (00),FR,France,Euro Thousand,43681.0
77681,2000,Live animals except fish etc. (00),GR,Greece,Euro Thousand,50.0
77682,2000,Live animals except fish etc. (00),HR,Croatia,Euro Thousand,0.0
77683,2000,Live animals except fish etc. (00),HU,Hungary,Euro Thousand,1.0
77684,2000,Live animals except fish etc. (00),IN,India,Euro Thousand,31.0
77685,2000,Live animals except fish etc. (00),IT,Italy,Euro Thousand,33145.0
77686,2000,Live animals except fish etc. (00),JP,Japan,Euro Thousand,10410.0
77687,2000,Live animals except fish etc. (00),KR,South Korea,Euro Thousand,0.0
77688,2000,Live animals except fish etc. (00),LT,Lithuania,Euro Thousand,0.0
77689,2000,Live animals except fish etc. (00),LU,Luxembourg,Euro Thousand,0.0
77690,2000,Live animals except fish etc. (00),LV,Latvia,Euro Thousand,0.0
77691,2000,Live animals except fish etc. (00),MT,Malta,Euro Thousand,0.0
77692,2000,Live animals except fish etc. (00),MX,Mexico,Euro Thousand,0.0
77693,2000,Live animals except fish etc. (00),MY,Malaysia,Euro Thousand,0.0
77694,2000,Live animals except fish etc. (00),NL,Netherlands,Euro Thousand,13942.0
77695,2000,Live animals except fish etc. (00),NO,Norway,Euro Thousand,0.0
77696,2000,Live animals except fish etc. (00),PL,Poland,Euro Thousand,0.0
77697,2000,Live animals except fish etc. (00),PT,Portugal,Euro Thousand,0.0
77698,2000,Live animals except fish etc. (00),RO,Romania,Euro Thousand,0.0
77699,2000,Live animals except fish etc. (00),RU,Russia,Euro Thousand,29.0
77700,2000,Live animals except fish etc. (00),SA,Saudi Arabia,Euro Thousand,6.0
77701,2000,Live animals except fish etc. (00),SE,Sweden,Euro Thousand,406.0
77702,2000,Live animals except fish etc. (00),SG,Singapore,Euro Thousand,47.0
77703,2000,Live animals except fish etc. (00),SI,Slovenia,Euro Thousand,0.0
77704,2000,Live animals except fish etc. (00),SK,Slovakia,Euro Thousand,0.0
77705,2000,Live animals except fish etc. (00),TH,Thailand,Euro Thousand,0.0
77706,2000,Live animals except fish etc. (00),TR,Turkey,Euro Thousand,440.0
77707,2000,Live animals except fish etc. (00),TW,Taiwan,Euro Thousand,0.0
77708,2000,Live animals except fish etc. (00),US,USA,Euro Thousand,27029.0
77709,2000,Live animals except fish etc. (00),XB,Great Britain,Euro Thousand,127356.0
77710,2000,Live animals except fish etc. (00),XI,Northern Ireland,Euro Thousand,41134.0
77711,2000,Live animals except fish etc. (00),ZA,South Africa,Euro Thousand,455.0
77712,2000,Live animals except fish etc. (00),ZZEU99,EU country not specified,Euro Thousand,0.0
77713,2000,Live animals except fish etc. (00),ZZWORX27,Other countries,Euro Thousand,56899.0
77714,2000,Meat and meat preparations (01),AT,Austria,Euro Thousand,251.0
77715,2000,Meat and meat preparations (01),AU,Australia,Euro Thousand,245.0
77716,2000,Meat and meat preparations (01),BE,Belgium,Euro Thousand,42165.0
77717,2000,Meat and meat preparations (01),BG,Bulgaria,Euro Thousand,13.0
77718,2000,Meat and meat preparations (01),BR,Brazil,Euro Thousand,95.0
77719,2000,Meat and meat preparations (01),CA,Canada,Euro Thousand,0.0
77720,2000,Meat and meat preparations (01),CH,Switzerland,Euro Thousand,20.0
77721,2000,Meat and meat preparations (01),CN,China,Euro Thousand,4379.0
77722,2000,Meat and meat preparations (01),CY,Cyprus,Euro Thousand,6938.0
77723,2000,Meat and meat preparations (01),CZ,Czech Republic,Euro Thousand,119.0
77724,2000,Meat and meat preparations (01),DE,Germany,Euro Thousand,47745.0
77725,2000,Meat and meat preparations (01),DK,Denmark,Euro Thousand,38962.0
77726,2000,Meat and meat preparations (01),EE,Estonia,Euro Thousand,23.0
77727,2000,Meat and meat preparations (01),ES,Spain,Euro Thousand,87822.0
77728,2000,Meat and meat preparations (01),FI,Finland,Euro Thousand,736.0
