,Variable,Year,Value,Unit
1516,% of total country area cultivated,2016,6.573705179,%
1517,% of total country area cultivated,2017,6.573705179,%
1518,% of total country area cultivated,2018,6.431417188,%
1519,% of total country area cultivated,2019,6.317586796,%
1520,% of total country area cultivated,2020,6.331815595,%
1656,Arable land area,2016,461.0,1000 ha
1657,Arable land area,2017,461.0,1000 ha
1658,Arable land area,2018,451.0,1000 ha
1659,Arable land area,2019,443.0,1000 ha
1660,Arable land area,2020,444.0,1000 ha
1796,Cultivated area (arable land + permanent crops),2016,462.0,1000 ha
1797,Cultivated area (arable land + permanent crops),2017,462.0,1000 ha
1798,Cultivated area (arable land + permanent crops),2018,452.0,1000 ha
1799,Cultivated area (arable land + permanent crops),2019,444.0,1000 ha
1800,Cultivated area (arable land + permanent crops),2020,445.0,1000 ha
1936,Permanent crops area,2016,1.0,1000 ha
1937,Permanent crops area,2017,1.0,1000 ha
1938,Permanent crops area,2018,1.0,1000 ha
1939,Permanent crops area,2019,1.0,1000 ha
1940,Permanent crops area,2020,1.0,1000 ha
2076,Total area of the country (excl. coastal water),2016,7028.0,1000 ha
2077,Total area of the country (excl. coastal water),2017,7028.0,1000 ha
2078,Total area of the country (excl. coastal water),2018,7028.0,1000 ha
2079,Total area of the country (excl. coastal water),2019,7028.0,1000 ha
2080,Total area of the country (excl. coastal water),2020,7028.0,1000 ha
